name,location,rooms,area,floor,type,price
Atena Residence - PROMO Avans 15% - Apartament 2 camere decomandate,"Bucuresti, zona Theodor Pallady (Titan)",2,58.98, 1/3,Dec.,61.788
Dezvoltator - Finalizat - metrou Mihai Bravu 1 minut,"Bucuresti, Sector 3, zona Mihai Bravu",4,116, 3/16,Semidec.,190.100
"VANZARE APARTAMENT 2 CAMERE BLOC NOU NOU 2022 , CADASTRU SI INTABULARE","Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,54, 2/4,Dec.,69.500
Apartament 2 camere | Ansamblul rezidential HILS,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,45.28, 6/11,Dec.,76.000
Apartament 2 camere | LUX | HILS Brauner,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,47.46, 11/11,Semidec.,76.000
Apartament in ansamblul rezidential HILS Brauner | LUX,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",3,56.15, 9/11,Semidec.,94.000
"Dezvoltator Apartament 2 camere Bucuresti Titan, sectorul 3!","Bucuresti, Sector 3, zona Titan",2,46.25, 1/10,Semidec.,69.375
GARSONIERA DECOMANDATA! FINALIZATA! DIRECT DEZVOLTATOR ! COMISION 0%,"Bucuresti, Sector 6, zona Militari",o,31, 5/7,Dec.,34.900
"Dezvoltator Apartament 2 camere decomandat, Weiner 12 Residence","Bucuresti, Sector 6, zona Militari",2,49, 5/7,Dec.,48.600
"NOU! Penthouse cu 5 camere, in cea mai exclusivista zona din Bucuresti","Bucuresti, Sector 1, zona Dorobanţi (Dorobanti)",5,209,Ultimele 2 e/4,Dec.,1.995.000
** newplace ro | 4City | Vedere curtea interioara | Apartament deosebit | Lux **,"Bucuresti, zona Pipera",3,71.25, 6/7,Dec.,170.000
Dezvoltator Crystal North - Apartamente 3 Camere - Zona Pipera,"Bucuresti, Sector 1, zona Pipera",3,90.11, 1/8,Dec.,192.380
Dezvoltator Ap. 2 camere spatios in complex premium Panorama City 1 Decathlon Militari,"Bucuresti, Sector 6, zona Militari",2,60, 1/8,Dec.,78.900
Dezvoltator Apartament 2 camere modern în Elite Residence Măgurele,Măgurele,2,48.5, 2/2,Dec.,65.000
Dezvoltator Apartament 3 camere - Iancu Nicolae - British School,"Bucuresti, Sector 1, zona Pipera",3,83.55, 1/3,Dec.,272.900
"Apartament 3 Camere, Predare August, 3Min Stb","Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",3,74, 1/8,Dec.,90.500
Timpuri Noi   SUPER OFERTA  GARSONIERA/2CAMERE,"Bucuresti, Sector 4, zona Văcăresti (Tineretului)",o,53, 1/5,Semidec.,107.000
Dezvoltator Apartament 3 Camere decomandat Dezvoltator - Acte finalizate,"Bucuresti, Sector 4, zona Berceni",3,73.25, 5/8,Dec.,90.500
"CEL MAI BUN PRET! Garsoniera proiect nou, finalizare Decembrie, metrou Berceni","Popesti-Leordeni, zona Sud",o,39, 5/6,Dec.,35.900
Dezvoltator Ap. 2 camere in complex cu parc verde Panorama City 1 Bd. Iuliu Maniu Militari,"Bucuresti, Sector 6, zona Militari",2,50, 2/8,Dec.,70.200
"NOU! Penthouse cu 4 camere, in cea mai exclusivista zona din Bucuresti","Bucuresti, Sector 1, zona Dorobanţi (Dorobanti)",4,181,Ultimele 2 e/4,Dec.,1.760.000
Apartament 3 camere Cortina North,"Bucuresti, zona Pipera",3,77, 8/10,Dec.,155.000
Dezvoltator Apartament 2 camere Străulești ART CITY by Art Property Development,"Bucuresti, Sector 1, zona Străulesti (Bucurestii Noi)",2,50.31, 1/9,Dec.,120.000
CORTINA NORTH | Vedere Libera | Design Modern | TVA 5% | Faza 1 | Lux,"Bucuresti, Sector 1, zona Pipera",o,42.55, 7/10,Dec.,81.000
CORTINA NORTH | Vedere Libera | Balcon de 11 mp | Faza 1 | Lux,"Bucuresti, Sector 1, zona Pipera",2,61.04, 8/10,Dec.,125.000
CORTINA NORTH | Vedere Libera | Design Modern | Faza 1 | Lux,"Bucuresti, Sector 1, zona Pipera",3,76.87, 8/10,Dec.,155.000
VANZARE 3 CAMERE// ONE LAKE CLUB// DIRECT DEZVOLTATOR,"Bucuresti, Sector 2, zona Pipera",3,67.6, 2/10,Semidec.,229.000
CORTINA NORTH|Locatie premium|Facilitati unice|Design Modern|Faza 2|Comision 0%,"Bucuresti, Sector 1, zona Pipera",2,43.56, 3/10,Dec.,83.385
"NOU! Penthouse cu 5 camere, in cea mai exclusivista zona din Bucuresti","Bucuresti, Sector 1, zona Kiseleff",5,209,Ultimele 2 e/4,Dec.,1.995.000
2 camere Ilie Petre Militari Residence,Chiajna,2,46, 1/4,Dec.,51.000
Dezvoltator NorthLight Residence-Gradina- 2 camere-2bai - LAC /PISCINA-Comision0%!,"Bucuresti, Sector 1, zona Pipera",2,127,Parter/3,Dec.,101.291
VANZARE 3 CAMERE// ONE NORTH LOFTS// DIRECT DEZVOLTATOR,"Bucuresti, Sector 2, zona Pipera",3,104.9, 1/6,Semidec.,221.500
VANZARE APARTAMENT 3 CAMERE l ONE COTROCENI PARK l DIRECT DEZVOLTATOR,"Bucuresti, Sector 5, zona Militari",3,80, 11/11,Dec.,200.700
Dezvoltator Finalizat!3camere Tip19/Terasa 45 mp/Perfect compartimentat/Pipera Apartments188,"Bucuresti, zona Pipera",3,151, 4/5,Dec.,183.644
VANZARE APARTAMENT 2 CAMERE DECOMANDAT,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,53, 3/6,Dec.,69.490
Apartament 2 camere | Finalizat | Comision 0,"Bucuresti, Sector 3, zona Titan",2,52, 4/5,Dec.,83.850
GARSONIERA FINALIZATA TITAN-PALLADY!DIRECT DEZVOLTATOR.COMISION 0%,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",o,37, 2/3,Dec.,47.224
"Dezvoltator Apartament 2 camere, zona nord, Baneasa, Sisesti, parc deschidere lac","Bucuresti, Sector 1, zona Băneasa (Baneasa)",2,60, 3/10,Dec.,136.000
Dezvoltator Apartament tip Duplex 2 camere + gradina 90 mp- Cloud 9 Residence Aviatiei,"Bucuresti, Sector 2, zona Aviaţiei (Aviatiei)",2,59,Parter/11,Dec.,161.000
Acmanic - Duplex Lux cu Gradina proprie,"Bucuresti, Sector 1, zona Aviaţiei (Aviatiei)",3,85,Parter/3,Dec.,306.502
2 camere decomandat- langa metrou etaj 2 an ctie 2020 mobilat utilat,"Bucuresti, zona Aparatorii Patriei (Berceni)",2,56, 2/3,Dec.,83.000
