name,location,rooms,area,floor,type,price
Duplex | Ultracentral | 5 Camere | Terase mari,"Bucuresti, zona Batistei (Ultracentral)",5,166, 7/8,Dec.,260.000
"Dezvoltator Apartament nou cu 2 camere spatios, aproape de metrou","Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,54.19, 4/11,Dec.,92.000
Dezvoltator Apartament Garsoniera / Studio cu terasa în Elite Residence Măgurele,"Magurele, zona Central",o,28.4, 2/2,Dec.,40.250
"Direct Dezvoltator, vand apartament 2 camere, decomandat, gradina generoasa!","Bucuresti, Sector 3, zona Titan",2,57,Parter/4,Dec.,111.540
2 camere | Decomandat | Loc Parcare  Mobilat + Utilat | Baneasa,"Bucuresti, zona Băneasa (Baneasa)",2,48.02, 4/4,Dec.,110.000
Vanzare 4 camere Parcul Circului,"Bucuresti, Sector 2, zona Barbu Văcărescu (Floreasca)",4,85, 7/9,Dec.,160.000
CORTINA NORTH|Locatie premium|Facilitati unice|Design Modern|Faza 2|Comision 0%,"Bucuresti, Sector 1, zona Pipera",o,39.18, 3/10,Dec.,73.245
Dezvoltator PRIMA VISTA |Apartament 2 Camere tip A1| PROMO LANSARE,"Bucuresti, Sector 2, zona Floreasca",2,72.47, 4/10, 4/10,139.500
Dezvoltator GHICA APARTMENTS - APARTAMENT 3 CAMERE | Finisaje Premium | Comision 0%,"Bucuresti, Sector 2, zona Doamna Ghica (Colentina)",3,67.05,Parter/5,Dec.,109.300
Ocazie!Unicat!,"Bucuresti, Sector 4, zona Tineretului",6,135,Parter/8,Semidec.,250.000
"NOU - Metrou Berceni - garsoniera 38,9mp - 36,900 EUR","Bucuresti, Sector 4, zona Berceni",o,39, 2/5,Dec.,36.900
REA1012943 Apartament 2 camere Cotroceni,"Bucuresti, Sector 5, zona Cotroceni",2,54, 1/10,Semidec.,154.990
"Universitate, P-ta Rosetti, Jean Louis Calderon,","Bucuresti, Sector 2, zona Universitate (Ultracentral)",o,30, 8/8,Dec.,85.000
Vanzare Studio | Birou | Herastrau - Epocii,"Bucuresti, zona Şoseaua Nordului (Herastrau)",o,33,Demisol/6,Dec.,89.000
"Garsoniera de 31 mp, zona Pantelimon","Bucuresti, zona Pantelimon",o,31,Parter/10,Dec.,49.000
"Vand apartament 3 camere,decomandat,terasa 30mp,priveliste de vis, zone verzi!","Bucuresti, Sector 3, zona Titan",3,88, 4/5,Dec.,153.120
Apartament 2 camere Jiului-Damaroaia - Metrou Jiului | COMISION 0,"Bucuresti, zona Dămăroaia (Bucurestii Noi)",2,57, 4/4,Dec.,99.000
Dezvoltator Apartament Tip Studio MetroCity Chitila,"Bucuresti, Sector 1, zona Chitila (Bucurestii Noi)",2,41.1,Parter/3,Semidec.,66.900
Penthouse 4 camere Baneasa,"Bucuresti, zona Băneasa (Baneasa)",4,150, 3/3,Dec.,315.000
"Dezvoltator 2 camere 78mpc - dotari SMART HOME, parc 1.5 ha - Pipera Plaza iResidence","Bucuresti, zona Pipera",2,68, 3/6,Dec.,129.900
"2 camere, decomandat, toate facilitatile, Rond Cristalului,",Bragadiru,2,63, 7/7,Dec.,70.900
"Dezvoltator Apartament 3 camere, Metrou Aparatorii Patriei, Dezvoltator, ultimul apartament","Bucuresti, Sector 4, zona Berceni",3,84.3, 9/9,Dec.,100.200
"Dezvoltator Apartament nou cu 2 camere spatios, aproape de metrou","Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,56.63, 4/11,Dec.,92.000
Dezvoltator Apartament 2 Camere cu terasa în Elite Residence Măgurele,"Magurele, zona Central",2,39, 1/2,Dec.,55.200
"Floreasca - UP-site: Duplex 4 camere premium, inaltime living 6.25m","Bucuresti, Sector 1, zona Floreasca",4,157.99,Ultimele 2 e/12,Dec.,1.100.000
2 CAMERE SPATIOASE PRELUNGIREA GHENCEA,"Bragadiru, zona Central",2,67, 6/8,Dec.,87.500
De vanzare apartament 3 camere zona 13 Septembrie,"Bucuresti, zona 13 Septembrie",3,71, 4/4,Dec.,105.000
BANEASA DE VINZARE APARTAMENT 2 CAMERE MOBILAT SI UTILAT | LOC PARCARE,"Bucuresti, zona Băneasa (Baneasa)",2,52, 5/5,Nedec.,155.000
Dezvoltator Apartament 2 camere cu terasa în Elite Residence Măgurele,"Magurele, zona Central",2,39, 2/2,Dec.,55.200
Dezvoltator Străulești|  NOU Complex Rezidential | Apartament 2 camere | Art City,"Bucuresti, Sector 1, zona Straulesti (Bucurestii Noi)",2,65.33, 7/7,Dec.,158.000
Valea Cascadelor | 2 Camere | Apartamente  | Finalizate | Comision 0%,"Bucuresti, zona Militari",2,63, 1/8,Dec.,95.238
Duplex 9 camere / 3 garaje / terase 110 mp / lift propriu,"Bucuresti, zona Dorobanţi (Dorobanti)",9,641.2, 2/4,Dec.,1.300.000
Dezvoltator 2 CAMERE VEDERE DAMBOVITA- FINISAJE PACHET PREMIUM,"Bucuresti, Sector 3, zona Timpuri Noi (Tineretului)",2,59, 7/11,Dec.,149.130
"Apartament 3 camere 78 mp + balcon, finalizare iunie 2023, zona Marriott","Bucuresti, Sector 5, zona Unirii",3,78, 2/7,Semidec.,185.000
REA1011452 Unirii - Mircea Voda - apartament 3 camere cu centrala termcia,"Bucuresti, Sector 3, zona Unirii",3,73, 6/8,Dec.,158.000
COD E11392 - Apartament 3 camere- decomandat -LUMINOS-3 minute de Metrou Tudor V,"Bucuresti, zona Drumul Taberei",3,62, 6/10,Dec.,75.000
ONE HERASTRAU PARK |  AMAZING PENTHOUSE DUPLEX - LAKE VIEW,"Bucuresti, zona Herastrau",5,370, 12/13, 12/13,4.000.000
CENTRALIS.ro - Unic și Prestigios! Apartamente noi de vanzare la UNIVERSITATE,"Bucuresti, Sector 2, zona Magheru (Ultracentral)",4,114, 2,Dec.,535.000
MILITARI VANZARE AP 2 CAMERE+LOC DE PARCARE BLOC 2021 NOU FINALIZAT  15MIN METRO,Chiajna,2,43, 2/3,Dec.,51.000
Garsoniera Finalizata Pallady-Ozana,"Bucuresti, zona Ozana (Titan)",o,38, 6/7,Dec.,52.500
Apartamentul Quente – locul unui nou început –,"Popesti-Leordeni, zona Central",2,61, 9/11,Dec.,65.000
Dezvoltator Garsoniera Novum 56 Bld. Timisoara Penny Jysk,"Bucuresti, Sector 6, zona Drumul Taberei",o,35, 4/11,Dec.,59.900
"Garsoniera de vanzare, Oferta Speciala, STB, Comision 0%","Bucuresti, Sector 6, zona Prelungirea Ghencea (Ghencea)",o,38, 1/5,Dec.,39.990
GARSONIERA  MODERNA PIATA ALBA IULIA,"Bucuresti, zona P-ţa Alba Iulia (Unirii)",o,39, 8/9,Dec.,81.000
Dezvoltator Crystal North - Apartament 4 Camere si Gradina - Zona Pipera,"Bucuresti, Sector 1, zona Pipera",4,126.05,Parter/8,Dec.,283.790
Apartament cu 3 camere in zona Dudesti-Pantelimon,"Bucuresti, zona Pantelimon",3,100, 5/8,Semidec.,200.000
"Metrou Berceni 600m - garsoniera finalizata, bloc p+3","Bucuresti, Sector 4, zona Berceni",o,33, 3/3,Dec.,38.500
"Apartament 2 camere Universitate, Rosetti","Bucuresti, Sector 3, zona Universitate (Ultracentral)",2,37, 4/6,Dec.,69.000
REA1009051 Apartament 2 camere vedere superba Cortina Academy pretabil investiti,"Bucuresti, Sector 5, zona Cotroceni",2,63.57, 9/10,Dec.,168.200
Brancoveanu-Grand Arena10 minute de Metrou  bucataria utilata,"Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",2,58, 5/5,Dec.,68.900
3 camere Cortina Academy / Cotroceni / Smart Home/ Premium /Parcare Subterana/,"Bucuresti, Sector 6, zona Cotroceni",3,79, 1/10,Dec.,330.000
"Dezvoltator Apartament 3 camere, Metrou Aparatorii Patriei, Dezvoltator, ultimul apartament","Bucuresti, Sector 4, zona Berceni",3,84.3, 9/9,Dec.,100.200
VANZARE AP 4 CAM,"Bucuresti, Sector 1, zona Dorobanţi (Dorobanti)",4,157, 1/3,Dec.,479.500
Dezvoltator Dambovita 10 - garsoniera 48 mpc - metrou Petrache Poenaru - dambovita10.ro,"Bucuresti, zona Crângasi (Crangasi)",o,43, 6/10,Semidec.,72.621
"Dezvoltator STUDIO DUBLU, LUXURIA Residence - Expozitiei","Bucuresti, Sector 1, zona Domenii (1 Mai)",2,43, 3/8,Semidec.,126.700
Dezvoltator Virtutii - Pod Ciurel - Apartament nou 2 camere - vedere lac - dambovita10.ro,"Bucuresti, zona Grozăvesti (Militari)",2,59, 8/10,Dec.,112.043
"Dezvoltator Apartament 2 camere 54 mp, Palmyra Residence Direct Dezvoltator","Bucuresti, Sector 2, zona Colentina",2,54, 1/10,Semidec.,91.800
Eroii Revolutiei piata Progresu,"Bucuresti, zona Giurgiului",o,33, 8/10,Semidec.,39.000
REA1013580 2 Camere 59 mp Mobilat Bd Gloriei,"Bucuresti, Sector 1, zona Dămăroaia (Bucurestii Noi)",2,59, 4/4,Semidec.,99.000
Dezvoltator Apartament 4 camere | HERCESA,"Bucuresti, Sector 2, zona Basarabia (Titan)",4,100, 1/10,Dec.,179.000
Apartament 2 camere/ Oază de linişte şi verdeaţă / Delta Vacaresti/,"Bucuresti, Sector 4, zona Berceni",2,50, 3/7,Dec.,69.940
Dezvoltator Apartament cu 3 camere - Faza 2 - langa statia de metrou Nicolae Teclu,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",3,78.18, 5/7,Dec.,132.000
EXCLUSIVITATE | 2 CAMERE | CHIBRIT- EXPOZITIEI 2 MINUTE METROU,"Bucuresti, zona Chibrit (1 Mai)",2,46, 2/3,Dec.,113.000
"Dezvoltator Apartament 3 camere, Metrou Aparatorii Patriei, Dezvoltator, ultimul apartament","Bucuresti, Sector 4, zona Berceni",3,84.3, 7/9,Dec.,100.200
Apartament Nou 2 camere spatios la cheie - Zona Ghencea/Valea Oltului,"Bucuresti, Sector 5, zona Prelungirea Ghencea (Ghencea)",2,56, 3/5,Dec.,68.000
Rahmaninov Residence | 1 bedroom | High End apartment,"Bucuresti, zona Floreasca",2,80, 5/8,Dec.,700.000
REA1011271 Direct dezvoltator 3 camere Floreasca,"Bucuresti, Sector 2, zona Floreasca",3,87, 2/5,Semidec.,528.000
Apartament 2 camere/ Oferta limitata/ Mutare imediata/ Direct Dezvoltator/,"Bucuresti, Sector 4, zona Mihai Bravu",2,44,Parter/7,Dec.,57.925
Apartament 2 camere decomandat Militari Pollux Rezident-COMISION 0-,Chiajna,2,50, 5/9,Dec.,63.000
"DUPLEX 4 camere SUPERB, la 4 minute de Parcul Herastrau","Bucuresti, Sector 1, zona Domenii (1 Mai)",4,134,Ultimele 2 e/12,Ultimele 2 e/12,534.000
"Apartament 3 camere 77 mp utili + balcon 9 mp, imobil 2023, zona 13 Septembrie","Bucuresti, Sector 5, zona Unirii",3,77, 1/5,Semidec.,187.264
Dezvoltator Apartament Garsoniera / Studio cu terasa în Elite Residence Măgurele,"Magurele, zona Central",o,29.1, 1/2,Dec.,41.400
Apartament de vânzare 3 camere,"Bucuresti, Sector 2, zona P-ta Rosetti (Ultracentral)",3,100, 4/7,Dec.,190.000
Apartament 5 camere Batistei,"Bucuresti, zona Universitate (Ultracentral)",5,221, 1/6,Dec.,380.000
Apartament 2 camere decomandat! Finalizat! Direct dezvoltator! Comision 0%,"Bucuresti, Sector 6, zona Militari",2,44, 1/7,Dec.,46.900
"Floreasca - UP-site: Penthouse 5 camere premium, inaltime living 6.25m","Bucuresti, Sector 1, zona Floreasca",5,191.92,Ultimele 2 e/12,Dec.,1.250.000
Dezvoltator Garsoniera | HERCESA,"Bucuresti, Sector 2, zona Titan",o,41.2, 3/11,Dec.,75.700
"Dezvoltator GHICA APARTAMENTS-apartament 3 CAMERE 2 bai, finisaje premium","Bucuresti, Sector 2, zona Obor (Colentina)",3,72.1, 5/5,Dec.,117.550
"Dezvoltator 3 cam, 95 mp utili-1 min metrou Mihai Bravu","Bucuresti, Sector 3, zona Mihai Bravu",3,80, 5/16,Dec.,156.900
"Ultima garsoniera dubla cu terasa 48 mp din complex, Oferta speciala","Bucuresti, zona Pipera",o,89.21,Parter/5,Semidec.,83.600
Apartament cu 5 camere zona Foisor de Foc,"Bucuresti, zona Bucur Obor (Colentina)",5,103.6, 1/2,Dec.,275.006
Apartament 2 camere Baneasa - Herastrau,"Bucuresti, zona Băneasa (Baneasa)",2,48, 4/4,Dec.,105.000
Dezvoltator Apartament 2 Camere Rezidential Nou MetroCity Chitila,"Bucuresti, Sector 1, zona Chitila (Bucurestii Noi)",2,51.4, 4/5,Semidec.,85.900
Apartament 2 camere/ Direct Dezvoltator/ Finisaje la alegere/,"Bucuresti, Sector 6, zona Militari",2,49, 7/7,Dec.,54.986
"Apartament NOU cu 2 camere si vedere la lac, locatie premium, Iancu Nicolae-Zoo","Bucuresti, zona Iancu Nicolae (Pipera)",2,59, 2/4,Dec.,155.000
De vanzare 2 camere modern amenajat Soseaua Virtutii bloc 2009,"Bucuresti, zona Virtuţii (Militari)",2,64.71, 8/8,Dec.,107.000
"Dezvoltator GHICA APARTAMENTS-apartament 3 CAMERE 2 bai, finisaje premium","Bucuresti, Sector 2, zona Obor (Colentina)",3,79.6, 3/5,Dec.,129.750
"Apartament 2 camere, S utila-62 mp, loc de parcare inclus, direct proprietar.","Bragadiru, zona Haliu",2,62, 6/8,Dec.,64.000
GIURGIULUI/LUICA,"Bucuresti, Sector 4, zona Giurgiului",2,38, 9/10,Semidec.,46.000
"Dezvoltator 3 cam, 95 mp utili-1 min metrou Mihai Bravu","Bucuresti, Sector 3, zona Mihai Bravu",3,80, 5/16,Dec.,156.900
REA1010467 Apartament doua camere One Mircea Eliade,"Bucuresti, Sector 2, zona Floreasca",2,41, 1/15,Semidec.,201.500
2 camere tip studio | Incalzire prin pardoseala | Smart Home ready,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,52, 7/7,Dec.,73.900
De vanzare | Apartament 2 camere | Marmura Residence / Bucurestii Noi,"Bucuresti, Sector 1, zona Bucurestii Noi (Bucurestii Noi)",2,41, 5/10,Dec.,115.000
OCTAVIAN GOGA STRADAL AP 3 CAMERE CENTRAL PRETABIL INVESTITIE MOBILA/UTILAT,"Bucuresti, Sector 3, zona Octavian Goga (Unirii)",3,78, 6/8,Dec.,170.000
Vanzare 2 camere Ferdinand -Avrig,"Bucuresti, Sector 2, zona Ferdinand",2,52, 1/10,Semidec.,72.000
Dezvoltator Apartament de vanzare 2 camere,"Bucuresti, Sector 1, zona Bucurestii Noi",2,67, 2/4,Dec.,123.833
Dezvoltator Apartament cu 3 camere - Faza 2 - langa statia de metrou Nicolae Teclu,"Bucuresti, Sector 3, zona 1 Decembrie 1918 (Titan)",3,78.18, 5/7,Dec.,132.000
Dezvoltator  Nou 2 Camere MetroCity Chitila,"Bucuresti, Sector 1, zona Chitila (Bucurestii Noi)",2,51, 1/3,Semidec.,84.700
"Kobalcescu  3 cam pretabil cabinet stomatologic, afacere p/8","Bucuresti, zona Kogălniceanu (Ultracentral)",3,40,Parter/8,Semidec.,100.000
Militari Residence - 2 CAMERE,"Bucuresti, Sector 6, zona Militari",2,54, 3/8,Dec.,58.050
Metrou Berceni 500m - 2 camere studio 50mp - proiect nou,"Bucuresti, Sector 4, zona Berceni",2,50, 2/5,Dec.,58.300
Apartament 3 camere de vanzare in Estoria City – Faza 1,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",3,82, 11/11,Dec.,165.000
Berceni-Metrou Berceni-Apartament 2 camere-Pret promotional.,"Bucuresti, zona Berceni",2,43, 1/6,Nedec.,41.900
REA1004636 OPORTUNITATE - Penthouse 500 mp Mall Vitan,"Bucuresti, Sector 3, zona Unirii",3,180, 12/12,Dec.,329.500
Apartament 3 camere | rond OMV | finisat | Gata de mutare | Imobil nou,"Bucuresti, Sector 1, zona Pipera",3,66,Parter/3,Dec.,139.990
Dacia Eminescu  apartament generos bloc 2007,"Bucuresti, zona Dacia",3,123.34, 3/8,Semidec.,270.000
Capitale | Proprietate emblematica | 3 camere,"Bucuresti, zona Capitale (Dorobanti)",3,110, 1/3,Dec.,1.000.000
Incalzire pardoseala 3 camere Titan Pallady metrou 8 min terasa 50mp,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",3,128, 1/10,Dec.,125.109
"Dezvoltator OFERTA Ap. 3 cam, Auchan - Iuliu Maniu, Envogue Residence","Bucuresti, zona Militari",3,92, 5/7,Dec.,105.238
"Dezvoltator Oferta FULGER- Ap. 3 cam, Auchan - Iuliu Maniu, Envogue Residence","Bucuresti, zona Militari",3,92, 5/6,Dec.,105.238
Garsoniera de vanzare in zona Octavian Goga,"Bucuresti, zona Octavian Goga (Unirii)",o,37, 10/10,Dec.,64.000
"Apartament cu 3 camere Parcul Tineretului, loc de parcare inclus","Bucuresti, Sector 4, zona Tineretului",3,72,Parter/7,Dec.,129.000
Apartament 2 camere cu terasa,"Bragadiru, zona Central",2,50.47, 3/3,Dec.,82.000
Apartament de vanzare 2 camere - Omv Pipera - 0% Comision,"Bucuresti, zona Pipera",2,57.77, 5/8,Semidec.,114.000
Penthouse stil duplex Cloud 9 Residence 399 mp Terasa!,"Bucuresti, Sector 2, zona Aviaţiei (Aviatiei)",5,181.98, 9/10, 9/10,770.000
Apartament 2 camere/ Oferta limitata/ Direct Dezvoltator/ Zona linistita,"Bucuresti, Sector 4, zona Vitan",2,47, 3/7,Dec.,70.950
COD E11563 - APARTAMENT 2 CAMERE - LUX - SISESTI,"Bucuresti, zona Sisesti (Baneasa)",2,60,Parter/7,Dec.,145.000
Dezvoltator Apartament Garsoniera / Studio cu terasa în Elite Residence Măgurele,"Magurele, zona Central",o,27.6,Parter/2,Dec.,38.525
Apartament 94mp smartheat 3 camere 2 bai terasa Pallady Metrou TECLU,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",3,94, 3/7,Dec.,109.200
Proiect exclusivist Confort Nord Tower - 2 Camere Reducere Pret,"Voluntari, zona Nord",2,58.02, 4/8,Dec.,110.719
Dezvoltator 2 camere DAMBOVITA 10 Grozavesti Virtutii -Metrou P Poenaru - 62 mpc,"Bucuresti, zona Grozăvesti (Militari)",2,53, 1/10,Dec.,88.791
"Apartament 3 camere decomandat cu balcon, IDEAL INVESTITIE!",Dudu,3,70, 1/8,Dec.,66.500
Cel mai bun pret din cea mai scumpa zona!!!,"Bucuresti, Sector 1, zona Herăstrău (Herastrau)",4,245, 1/7,Dec.,1.000.000
COD E17750 - Apartament 2 camere - GATA DE MUTAT -zona TINERETULUI,"Bucuresti, zona Tineretului",2,54,Parter/8,Dec.,98.000
REA1009378 2 camere Complex SUN ROYAL VIEW- Direct dezvoltator,"Bucuresti, Sector 4, zona Berceni",2,64, 2/10,Dec.,94.388
"Dezvoltator GHICA APARTAMENTS-apartament 3 CAMERE cu suprafatata generoasa, finisaje premium","Bucuresti, Sector 2, zona Obor (Colentina)",3,82.1, 1/5,Dec.,133.800
"LUXURIA Domenii Residence, apartament cu 3 camere","Bucuresti, Sector 1, zona Domenii (1 Mai)",3,72, 5/12,Dec.,198.900
REA1012030 Apartament exclusivist 4 camere in Dorobanti Capitale,"Bucuresti, Sector 1, zona Capitale (Dorobanti)",4,181, 1/4,Dec.,1.350.000
Apartament 2 Camere Incalzire in Pardoseala Ansamblu Nou Rahova,"Bucuresti, zona Rahova",2,55.5, 1/10,Dec.,74.900
Vanzare apartament 3 camere Baneasa | mobilat si utilat | loc de parcare subtera,"Bucuresti, zona Băneasa (Baneasa)",3,77, 1/5,Semidec.,165.000
Apartament DUPLEX 3 Camere *  Pipera Plaza * Parcare Inclusa,"Bucuresti, Sector 1, zona Pipera",3,93.1,Parter/3,Dec.,226.000
REA1006049 Apartamen 2 camere Win Herastrau TVA inclus,"Bucuresti, Sector 1, zona Herăstrău (Herastrau)",2,58.8, 1/5,Semidec.,179.000
"Dezvoltator Apartament 4 camere, 1min Metrou Mikai Bravu, 116mp utili, Global Residence","Bucuresti, Sector 3, zona Vitan Mall (Vitan)",4,101, 3/16,Dec.,190.100
"Estic Park: 2 camere Mobiliat Utilat si Parcare, Morarilor Fundeni Pantelimon S2","Bucuresti, zona Morarilor (Pantelimon)",2,53.5,Parter/10,Nedec.,96.500
REA1009179 2 camere Complex SUN ROYAL VIEW -Direct dezvoltator,"Bucuresti, Sector 4, zona Berceni",2,64.33, 7/10,Dec.,97.810
"Apartament 2 camere Ozana, metrou 1 DECEMBRIE 1918","Bucuresti, zona Ozana (Titan)",2,52.1, 8/10,Semidec.,83.000
3 camere etaj 1 centrala termica loc paracre Calea Vacaresti,"Bucuresti, zona Văcăresti (Tineretului)",3,68, 1/8,Dec.,134.000
Apartament 2 camere Colorlife Bragadiru + parcare,"Bragadiru, zona Central",2,42, 2/3,Dec.,57.000
Vanzare apartament 4 camere Iorga,"Bucuresti, Sector 1, zona Calea Victoriei (Ultracentral)",4,110.25, 4/6,Nedec.,170.000
Dezvoltator The Level Apartments | Straulesti - Pta Presei | 2 camere | Tip 07B | Est,"Bucuresti, Sector 1, zona Straulesti (Bucurestii Noi)",2,57.49, 2/7,Dec.,117.066
Dezvoltator 2 CAMERE - METROU MIHAI BRAVU -72 MP,"Bucuresti, Sector 3, zona Mihai Bravu",2,55, 11/16, 11/16,120.000
Garsoniera | HILS Brauner | Ansamblu rezidential nou,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",o,30.3, 10/11,Dec.,56.000
OCAZIE Estoria City | Apartament 2 camere incalzire in pardoseala | Predare 2023,"Bucuresti, zona Theodor Pallady (Titan)",2,63, 8/11,Dec.,94.900
Primarie Centru 2 camere decomandate 54000 euro,"Popesti-Leordeni, zona Sud",2,54, 1/3,Dec.,54.000
Dezvoltator 4 CAMERE  LANGA METROU MIHAI BRAVU -116 MP UTILI DIRECT DEZVOLTATOR,"Bucuresti, Sector 3, zona Mihai Bravu",4,116, 6/16,Dec.,195.000
Apartament cu 2 camere // ideal investitie,"Bucuresti, zona Dorobanţi (Dorobanti)",2,37.42, 5/8,Dec.,83.000
Garsoniera | Ansamblul rezidential HILS | Proiect nou,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",o,30.3, 9/11,Dec.,56.000
Dezvoltator Apartament tip Duplex 3 camere + 2 parcari incluse - Cloud 9 Residence  Aviatiei,"Bucuresti, Sector 1, zona Aviaţiei (Aviatiei)",3,118,Parter/11,Dec.,281.000
APARTAMENT MARE IN VILA CU CURTE SI GARAJ - ZONA DACIA,"Bucuresti, zona Dacia",5,184.44,Parter/1,Dec.,495.000
"Dezvoltator 14B Apart. 2 Cam. Vedere Sud, Metrou Straulesti Sisesti","Bucuresti, zona Străulesti (Bucurestii Noi)",2,64, 1/6,Dec.,94.100
Vanzare apartament 2 camere cu terasa Parcul Tineretului / comision 0,"Bucuresti, Sector 4, zona Tineretului",2,52, 7/11,Dec.,134.900
"Tineretului Parc, bloc 1979.","Bucuresti, Sector 4, zona Tineretului",2,55, 6/10,Dec.,89.900
Apartament cu 2 camere mobilat lux - zona Domenii,"Bucuresti, zona Domenii (1 Mai)",2,68.26,Parter/3,Dec.,190.787
STUDIO - Soseaua Nordului,"Bucuresti, zona Herăstrău (Herastrau)",o,25.1,Parter,Semidec.,148.000
Dezvoltator Apartament 2 camere - Rahmaninov 38 - Gradina Britanica Verdi Parc,"Bucuresti, zona Floreasca",2,59,Parter/8,Dec.,218.325
2 camere cochete cu CENTRALA PROPRIE in bloc nou-MIHAI BRAVU,"Bucuresti, zona Mihai Bravu",2,48, 1/3,Dec.,125.000
Apartament 3 Camere| Baneasa| Jandarmeriei| Stejarii| Gradina| parcare subterana,"Bucuresti, zona Băneasa (Baneasa)",3,82,Parter/6,Dec.,194.700
"2 camere, Pantelimon-Vedere Lac-Sector 2, Mega Mall-Ultimele Apartamente","Bucuresti, zona Pantelimon",2,57, 6/10,Dec.,79.800
"Dezvoltator Apartament 3 camare Metalurgiei, Cartierul Solar, Rond Metro","Bucuresti, Sector 4, zona Sud",3,71, 3/6,Dec.,103.000
"Apartament 2 camere+M, 127 mpu, scara interioara, Chiajna, dispus pe 2 nivele",Chiajna,2,127, 2/2,Dec.,110.000
"POZE REALE! Garsoniera foarte spatioasa, finalizare in 3 luni, metrou","Popesti-Leordeni, zona Sud",o,41, 2/6,Dec.,39.500
PENTHOUSE 4 CAMERE TERASA CU  140 MP,"Bucuresti, Sector 3, zona Unirii",4,100, 4/4,Dec.,299.000
"Piața Alba Iulia, vedere rond, mobilat și utilat","Bucuresti, Sector 3, zona P-ţa Alba Iulia (Unirii)",2,62, 9/10,Dec.,137.000
Garsoniera in Grozavesti #SpaciousBrightStudio,"Bucuresti, Sector 6, zona Splaiul Independenţei (Unirii)",o,36, 6/10,Dec.,93.000
Apartament Floreasca Dorobanti 3 cam 153 mp bloc 2008 garaj,"Bucuresti, zona Floreasca",3,153, 1/4,Dec.,450.000
Apartament 2 cam de vanzare Gorjului,"Bucuresti, zona Lujerului (Militari)",2,50, 8,Dec.,69.000
Piata Victoriei - apartament luminos,"Bucuresti, Sector 1, zona P-ta Victoriei (Ultracentral)",4,95.19, 3,Dec.,260.000
Empire Residence | Imobil Premium | metrou 1 Decembrie 1918 la 1 km | Finalizat!,"Bucuresti, zona Titan",2,66.59, 3/6,Dec.,91.955
Vanzare duplex - Baneasa- Lac,"Bucuresti, zona Băneasa (Baneasa)",6,310,Parter/4,Parter/4,480.000
Vanzare Apartament | 3 Camere | Cortina North | Comision 0,"Bucuresti, zona Pipera",3,67, 4,Dec.,155.000
Dezvoltator PROMOTIE | PROIECT NOU FINALIZAT | Studio Dublu B12 | TVA 5%,"Bucuresti, Sector 3, zona Tineretului",2,47.99, 1/10,Dec.,115.000
"Foisorul de Foc-Ferdinand Et.1+M,SU=145mp","Bucuresti, zona Foisorul de Foc (Ferdinand)",6,145, 1/1,Dec.,220.000
Apartament 3 camere decomandate zona UNIRII,"Bucuresti, zona Unirii",3,73, 4/8,Dec.,149.900
Apartament 2 camere - Metalurgiei - Direct Dezvoltator,"Bucuresti, zona Metalurgiei (Berceni)",2,44, 4/6,Dec.,60.000
Apartament 2 camere | Comision 0 | ZONA THEODOR PALLADY,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",2,67, 3/5,Dec.,75.940
Apartament 2 camere | Langa Padure,"Bucuresti, zona Băneasa (Baneasa)",2,56, 2/5,Dec.,155.000
APARTAMENT 2 CAMERE || DIRECT DEZVOLTATOR || COMISION 0%,"Bucuresti, zona Unirii",2,48.51, 1/5,Semidec.,76.200
POEM Residence Pallady - Predeare in Martie 2023,"Bucuresti, Sector 3, zona Theodor Pallady (Titan)",3,96, 3/4,Dec.,112.000
De Vanzare! Apartament 2 camere Sisesti - Vedere lac,"Bucuresti, zona Sisesti (Baneasa)",2,64.51, 2/11,Dec.,103.000
CORTINA NORTH | Vedere Libera | Balcon de 11 mp | Faza 1 | Lux,"Bucuresti, Sector 1, zona Pipera",3,81.95, 9/10,Dec.,165.000
Dezvoltator Finalizat!Mutare imediata! 3 camere Tip 25 cu 3 balcoane /Pipera Apartments188,"Bucuresti, zona Pipera",3,110.22, 5/5,Dec.,136.554
Dezvoltator Apartament 2 camere Colentina TRIPLEX,"Bucuresti, Sector 2, zona Colentina",3,91, 7/8,Dec.,146.900
Dezvoltator Apartament la doar 3 minute de metrou in Estoria City - faza a 2-a,"Bucuresti, Sector 3, zona 1 Decembrie 1918 (Titan)",3,71.27, 5/7,Dec.,120.000
SUPER DEAL | Apartament 2 camere complex exclusivist | Herastrau,"Bucuresti, zona Herăstrău (Herastrau)",2,59.29, 1/5, 1/5,175.000
DUPLEX 3 CAMERE VITAN REZIDENCE  METROU 3 MINUTE /2 PARCARI SUBTERANE || Ideal I,"Bucuresti, zona Vitan Mall (Vitan)",3,90, 11/12,Dec.,230.000
